time;WTG4A_WTG4A_injector_PInjPu;WTG4A_WTG4A_injector_QInjPu;WTG4A_WTG4A_injector_terminal_V_re;WTG4A_WTG4A_injector_terminal_i_re;WTG4A_WTG4A_injector_terminal_V_im;WTG4A_WTG4A_injector_terminal_i_im;WTG4A_WTG4A_pll_omegaPLLPu;WTG4A_WTG4A_wecc_wtgt_PePu;
1.001029;0.424152;0.189759;0.627444;-0.706920;0.106039;0.182960;1.068841;0.424152;
1.001045;0.424208;0.189669;0.627419;-0.707014;0.106054;0.182793;1.068243;0.424208;
1.001077;0.424321;0.189494;0.627370;-0.707201;0.106082;0.182465;1.067063;0.424321;
1.001141;0.424544;0.189163;0.627276;-0.707574;0.106138;0.181839;1.064766;0.424544;
1.001269;0.424986;0.188570;0.627104;-0.708311;0.106248;0.180694;1.060413;0.424986;
1.001341;0.425235;0.188272;0.627016;-0.708725;0.106310;0.180103;1.058073;0.425235;
1.001341;0.425235;0.188272;0.627016;-0.708725;0.106310;0.180103;1.058073;0.425235;
1.001342;0.425239;0.188268;0.627015;-0.708731;0.106311;0.180095;1.058042;0.425239;
1.001343;0.425242;0.188264;0.627013;-0.708737;0.106312;0.180087;1.058010;0.425242;
1.001345;0.425249;0.188257;0.627011;-0.708748;0.106314;0.180072;1.057948;0.425249;
1.001349;0.425262;0.188241;0.627007;-0.708771;0.106317;0.180041;1.057822;0.425262;
1.001357;0.425290;0.188211;0.626997;-0.708816;0.106324;0.179980;1.057573;0.425290;
1.001373;0.425344;0.188152;0.626979;-0.708907;0.106337;0.179860;1.057077;0.425344;
1.001405;0.425453;0.188040;0.626945;-0.709089;0.106365;0.179629;1.056100;0.425453;
1.001469;0.425672;0.187837;0.626881;-0.709453;0.106419;0.179202;1.054197;0.425672;
1.001597;0.426110;0.187521;0.626772;-0.710183;0.106529;0.178479;1.050592;0.426110;
1.001853;0.426998;0.187217;0.626630;-0.711663;0.106751;0.177531;1.044111;0.426998;
1.002109;0.427908;0.187327;0.626581;-0.713179;0.106978;0.177203;1.038512;0.427908;
1.002365;0.428845;0.187817;0.626616;-0.714742;0.107213;0.177441;1.033686;0.428845;
1.002621;0.429816;0.188656;0.626729;-0.716361;0.107456;0.178193;1.029531;0.429816;
1.002877;0.430825;0.189816;0.626913;-0.718042;0.107708;0.179415;1.025958;0.430825;
1.003133;0.431874;0.191271;0.627160;-0.719790;0.107970;0.181063;1.022888;0.431874;
1.003389;0.432966;0.193000;0.627466;-0.721610;0.108243;0.183102;1.020254;0.432966;
1.003901;0.435284;0.197170;0.628228;-0.725473;0.108822;0.188184;1.016008;0.435284;
1.004362;0.437525;0.201675;0.629070;-0.729209;0.109383;0.193798;1.013181;0.437525;
1.004823;0.439914;0.206805;0.630039;-0.733189;0.109980;0.200256;1.011077;0.439914;
1.004834;0.439972;0.206933;0.630063;-0.733286;0.109994;0.200417;1.011034;0.439972;
1.004834;0.439972;0.206933;0.630063;-0.733286;0.109994;0.200417;1.011034;0.439972;
1.004835;0.439977;0.206945;0.630065;-0.733295;0.109996;0.200432;1.011030;0.439977;
1.004836;0.439982;0.206956;0.630067;-0.733304;0.109997;0.200447;1.011026;0.439982;
1.004838;0.439993;0.206980;0.630072;-0.733322;0.110000;0.200477;1.011019;0.439993;
1.004842;0.440014;0.207028;0.630081;-0.733357;0.110005;0.200537;1.011004;0.440014;
1.004850;0.440057;0.207123;0.630099;-0.733429;0.110016;0.200657;1.010974;0.440057;
1.004866;0.440143;0.207313;0.630135;-0.733572;0.110037;0.200898;1.010915;0.440143;
1.004898;0.440315;0.207696;0.630208;-0.733859;0.110080;0.201382;1.010798;0.440315;
1.004962;0.440662;0.208469;0.630354;-0.734436;0.110167;0.202360;1.010572;0.440662;
1.005090;0.441363;0.210046;0.630654;-0.735606;0.110342;0.204355;1.010148;0.441363;
1.005346;0.442799;0.213313;0.631274;-0.737999;0.110701;0.208492;1.009397;0.442799;
1.005858;0.445792;0.220208;0.632582;-0.742986;0.111449;0.217209;1.008223;0.445792;
1.006370;0.448934;0.227514;0.633962;-0.748224;0.112235;0.226413;1.007410;0.448934;
1.006882;0.452216;0.235158;0.635399;-0.753694;0.113056;0.235992;1.006870;0.452216;
1.007394;0.455627;0.243080;0.636879;-0.759379;0.113908;0.245856;1.006533;0.455627;
1.007906;0.459157;0.251226;0.638390;-0.765262;0.114791;0.255927;1.006342;0.459157;
1.008930;0.466519;0.267968;0.641457;-0.777532;0.116631;0.276377;1.006211;0.466519;
1.009954;0.474229;0.285131;0.644549;-0.790382;0.118559;0.296990;1.006302;0.474229;
1.010978;0.482212;0.302480;0.647619;-0.803687;0.120555;0.317458;1.006492;0.482212;
1.011268;0.484513;0.307398;0.648479;-0.807522;0.121130;0.323191;1.006550;0.484513;
1.011268;0.484513;0.307398;0.648479;-0.807522;0.121130;0.323191;1.006550;0.484513;
1.011269;0.484521;0.307415;0.648482;-0.807536;0.121132;0.323210;1.006550;0.484521;
1.011270;0.484529;0.307432;0.648485;-0.807549;0.121134;0.323230;1.006551;0.484529;
1.011272;0.484545;0.307466;0.648491;-0.807576;0.121138;0.323270;1.006551;0.484545;
1.011276;0.484577;0.307534;0.648503;-0.807629;0.121146;0.323349;1.006552;0.484577;
1.011284;0.484641;0.307670;0.648527;-0.807735;0.121162;0.323507;1.006554;0.484641;
1.011300;0.484768;0.307942;0.648574;-0.807947;0.121194;0.323824;1.006557;0.484768;
1.011332;0.485023;0.308486;0.648669;-0.808371;0.121257;0.324457;1.006564;0.485023;
1.011396;0.485529;0.309574;0.648859;-0.809215;0.121384;0.325723;1.006574;0.485529;
1.011524;0.486532;0.311745;0.649238;-0.810887;0.121635;0.328251;1.006588;0.486532;
1.011780;0.488505;0.316075;0.649995;-0.814175;0.122128;0.333298;1.006588;0.488505;
1.012292;0.492318;0.324679;0.651502;-0.820530;0.123081;0.343340;1.006504;0.492318;
1.013316;0.499467;0.341630;0.654476;-0.832445;0.124868;0.363167;1.006135;0.499467;
1.014340;0.506043;0.358196;0.657386;-0.843406;0.126513;0.382568;1.005620;0.506043;
1.015364;0.512135;0.374314;0.660215;-0.853559;0.128036;0.401428;1.005083;0.512135;
1.016388;0.517826;0.389920;0.662945;-0.863044;0.129458;0.419630;1.004594;0.517826;
1.017379;0.523026;0.404477;0.665479;-0.871711;0.130758;0.436518;1.004200;0.523026;
1.017379;0.523027;0.404476;0.665478;-0.871711;0.130759;0.436516;1.004200;0.523027;
1.017379;0.523027;0.404477;0.665479;-0.871712;0.130759;0.436517;1.004200;0.523027;
1.017379;0.523027;0.404477;0.665479;-0.871712;0.130759;0.436517;1.004200;0.523027;
1.017380;0.523032;0.404491;0.665481;-0.871720;0.130760;0.436534;1.004200;0.523032;
1.017381;0.523037;0.404506;0.665484;-0.871729;0.130761;0.436551;1.004199;0.523037;
1.017383;0.523048;0.404534;0.665489;-0.871746;0.130764;0.436584;1.004199;0.523048;
1.017387;0.523068;0.404592;0.665499;-0.871780;0.130769;0.436651;1.004197;0.523068;
1.017395;0.523109;0.404707;0.665519;-0.871848;0.130779;0.436784;1.004194;0.523109;
1.017411;0.523190;0.404938;0.665559;-0.871983;0.130799;0.437051;1.004189;0.523190;
1.017443;0.523353;0.405398;0.665638;-0.872254;0.130840;0.437584;1.004177;0.523353;
1.017507;0.523677;0.406317;0.665798;-0.872795;0.130921;0.438647;1.004155;0.523677;
1.017635;0.524323;0.408148;0.666115;-0.873872;0.131083;0.440762;1.004111;0.524323;
1.017891;0.525604;0.411779;0.666744;-0.876007;0.131403;0.444952;1.004029;0.525604;
1.017980;0.526046;0.413038;0.666962;-0.876744;0.131513;0.446405;1.004000;0.526046;
1.017980;0.526046;0.413038;0.666962;-0.876744;0.131513;0.446405;1.004000;0.526046;
1.017980;0.526046;0.413038;0.666962;-0.876744;0.131513;0.446405;1.004000;0.526046;
1.017980;0.526046;0.413038;0.666962;-0.876744;0.131513;0.446405;1.004000;0.526046;
1.017980;0.526046;0.413038;0.666962;-0.876744;0.131513;0.446405;1.004000;0.526046;
1.017980;0.526046;0.413038;0.666962;-0.876744;0.131513;0.446405;1.004000;0.526046;
1.017981;0.526051;0.413052;0.666964;-0.876752;0.131515;0.446421;1.004000;0.526051;
1.017982;0.526056;0.413066;0.666966;-0.876761;0.131516;0.446437;1.004000;0.526056;
1.017984;0.526066;0.413094;0.666971;-0.876777;0.131518;0.446469;1.003999;0.526066;
1.017988;0.526086;0.413151;0.666981;-0.876810;0.131523;0.446534;1.003998;0.526086;
1.017996;0.526126;0.413263;0.667000;-0.876876;0.131533;0.446663;1.003995;0.526126;
1.018012;0.526205;0.413488;0.667039;-0.877008;0.131553;0.446922;1.003991;0.526205;
1.018044;0.526363;0.413936;0.667117;-0.877272;0.131593;0.447438;1.003981;0.526363;
1.018108;0.526680;0.414832;0.667271;-0.877799;0.131672;0.448469;1.003963;0.526680;
1.018236;0.527308;0.416616;0.667579;-0.878847;0.131829;0.450521;1.003926;0.527308;
1.018492;0.528540;0.420173;0.668194;-0.880900;0.132137;0.454619;1.003842;0.528540;
1.019004;0.530900;0.427243;0.669420;-0.884833;0.132727;0.462792;1.003645;0.530900;
1.020028;0.535223;0.441208;0.671857;-0.892038;0.133808;0.479040;1.003176;0.535223;
1.021052;0.539055;0.454914;0.674268;-0.898426;0.134766;0.495111;1.002665;0.539055;
1.023100;0.545539;0.481385;0.678956;-0.909232;0.136387;0.526364;1.001737;0.545539;
1.024943;0.550237;0.503995;0.682985;-0.917062;0.137561;0.553223;1.001070;0.550237;
1.026787;0.554160;0.525283;0.686781;-0.923600;0.138542;0.578534;1.000605;0.554160;
1.028630;0.557537;0.545132;0.690311;-0.929229;0.139386;0.602063;1.000330;0.557537;
1.030473;0.560563;0.563465;0.693549;-0.934271;0.140143;0.623652;1.000211;0.560563;
1.032316;0.563388;0.580245;0.696484;-0.938980;0.140849;0.643218;1.000208;0.563388;
1.034159;0.566123;0.595476;0.699113;-0.943539;0.141533;0.660744;1.000287;0.566123;
1.036003;0.568845;0.609191;0.701442;-0.948075;0.142213;0.676268;1.000416;0.568845;
1.037846;0.571599;0.621448;0.703482;-0.952665;0.142902;0.689869;1.000573;0.571599;
1.039689;0.574412;0.632323;0.705250;-0.957353;0.143605;0.701656;1.000739;0.574412;
1.041532;0.577290;0.641906;0.706765;-0.962149;0.144324;0.711757;1.000903;0.577290;
1.043375;0.580229;0.650294;0.708048;-0.967048;0.145059;0.720311;1.001055;0.580229;
1.047062;0.586210;0.664020;0.710032;-0.977017;0.146555;0.733535;1.001301;0.586210;
1.050380;0.591629;0.673284;0.711238;-0.986049;0.147909;0.741578;1.001451;0.591629;
1.053697;0.596957;0.680204;0.712018;-0.994929;0.149241;0.746778;1.001534;0.596957;
1.057015;0.602096;0.685240;0.712467;-1.003494;0.150526;0.749771;1.001555;0.602096;
1.060333;0.606961;0.688807;0.712670;-1.011602;0.151742;0.751124;1.001526;0.606961;
1.063651;0.611489;0.691259;0.712698;-1.019149;0.152874;0.751310;1.001458;0.611489;
1.066968;0.615640;0.692886;0.712608;-1.026066;0.153912;0.750710;1.001362;0.615640;
1.070286;0.619392;0.693918;0.712445;-1.032320;0.154850;0.749620;1.001249;0.619392;
1.073604;0.622743;0.694536;0.712242;-1.037905;0.155688;0.748267;1.001127;0.622743;
1.076922;0.625703;0.694875;0.712023;-1.042838;0.156428;0.746810;1.001002;0.625703;
1.083557;0.630570;0.695156;0.711610;-1.050950;0.157645;0.744058;1.000766;0.630570;
1.089529;0.633875;0.695141;0.711290;-1.056458;0.158471;0.741924;1.000580;0.633875;
1.095501;0.636346;0.695065;0.711038;-1.060577;0.159089;0.740241;1.000425;0.636346;
1.101473;0.638157;0.695012;0.710853;-1.063595;0.159541;0.739007;1.000303;0.638157;
1.107445;0.639466;0.695008;0.710724;-1.065777;0.159869;0.738153;1.000210;0.639466;
1.113417;0.640397;0.695046;0.710641;-1.067329;0.160102;0.737595;1.000142;0.640397;
1.119389;0.641051;0.695113;0.710589;-1.068419;0.160265;0.737252;1.000094;0.641051;
1.125361;0.641507;0.695194;0.710560;-1.069179;0.160379;0.737053;1.000060;0.641507;
1.131333;0.641824;0.695276;0.710544;-1.069707;0.160458;0.736947;1.000038;0.641824;
1.137305;0.642045;0.695352;0.710536;-1.070076;0.160514;0.736895;1.000023;0.642045;
1.149249;0.642329;0.695469;0.710529;-1.070548;0.160584;0.736853;1.000004;0.642329;
1.161193;0.642469;0.695547;0.710530;-1.070781;0.160619;0.736856;0.999996;0.642469;
1.173137;0.642534;0.695594;0.710532;-1.070890;0.160636;0.736871;0.999993;0.642534;
1.185081;0.642561;0.695622;0.710535;-1.070936;0.160643;0.736887;0.999992;0.642561;
1.197025;0.642571;0.695639;0.710537;-1.070951;0.160645;0.736903;0.999992;0.642571;
1.207774;0.642571;0.695652;0.710539;-1.070951;0.160645;0.736918;0.999992;0.642571;
1.218524;0.642567;0.695662;0.710541;-1.070945;0.160644;0.736933;0.999993;0.642567;
1.229273;0.642562;0.695672;0.710544;-1.070936;0.160643;0.736949;0.999993;0.642562;
1.240023;0.642556;0.695682;0.710546;-1.070926;0.160641;0.736964;0.999993;0.642556;
1.250772;0.642550;0.695691;0.710548;-1.070916;0.160640;0.736979;0.999994;0.642550;
1.261522;0.642544;0.695699;0.710550;-1.070907;0.160638;0.736993;0.999994;0.642544;
1.272271;0.642539;0.695707;0.710552;-1.070898;0.160637;0.737006;0.999995;0.642539;
1.283021;0.642534;0.695714;0.710554;-1.070890;0.160636;0.737018;0.999995;0.642534;
1.293771;0.642529;0.695721;0.710556;-1.070882;0.160634;0.737029;0.999995;0.642529;
1.304520;0.642525;0.695727;0.710557;-1.070875;0.160633;0.737040;0.999996;0.642525;
1.315270;0.642521;0.695733;0.710559;-1.070868;0.160632;0.737049;0.999996;0.642521;
1.326019;0.642517;0.695739;0.710560;-1.070862;0.160631;0.737058;0.999996;0.642517;
1.336769;0.642514;0.695744;0.710562;-1.070856;0.160631;0.737067;0.999997;0.642514;
1.358268;0.642507;0.695753;0.710564;-1.070846;0.160629;0.737082;0.999997;0.642507;
1.379767;0.642502;0.695760;0.710566;-1.070837;0.160628;0.737095;0.999997;0.642502;
1.401266;0.642497;0.695767;0.710567;-1.070829;0.160627;0.737106;0.999998;0.642497;
1.422765;0.642493;0.695773;0.710569;-1.070822;0.160626;0.737116;0.999998;0.642493;
1.444264;0.642490;0.695778;0.710570;-1.070816;0.160625;0.737124;0.999998;0.642490;
1.463613;0.642487;0.695782;0.710571;-1.070812;0.160624;0.737131;0.999999;0.642487;
1.481028;0.642485;0.695785;0.710572;-1.070808;0.160623;0.737136;0.999999;0.642485;
1.498442;0.642483;0.695788;0.710573;-1.070805;0.160623;0.737141;0.999999;0.642483;
1.514115;0.642481;0.695790;0.710573;-1.070802;0.160623;0.737145;0.999999;0.642481;
1.529787;0.642480;0.695792;0.710574;-1.070800;0.160622;0.737148;0.999999;0.642480;
1.545460;0.642479;0.695794;0.710574;-1.070798;0.160622;0.737151;0.999999;0.642479;
1.561133;0.642478;0.695796;0.710575;-1.070796;0.160622;0.737154;0.999999;0.642478;
1.576806;0.642477;0.695797;0.710575;-1.070794;0.160621;0.737156;0.999999;0.642477;
1.592479;0.642476;0.695798;0.710575;-1.070793;0.160621;0.737158;0.999999;0.642476;
1.608152;0.642475;0.695800;0.710576;-1.070792;0.160621;0.737160;0.999999;0.642475;
1.623824;0.642474;0.695801;0.710576;-1.070790;0.160621;0.737162;1.000000;0.642474;
1.639497;0.642474;0.695802;0.710576;-1.070789;0.160621;0.737164;1.000000;0.642474;
1.655170;0.642473;0.695803;0.710576;-1.070788;0.160620;0.737165;1.000000;0.642473;
1.670843;0.642472;0.695803;0.710576;-1.070787;0.160620;0.737166;1.000000;0.642472;
1.702189;0.642472;0.695805;0.710577;-1.070786;0.160620;0.737169;1.000000;0.642472;
1.729162;0.642471;0.695806;0.710577;-1.070785;0.160620;0.737170;1.000000;0.642471;
1.753438;0.642470;0.695806;0.710577;-1.070784;0.160620;0.737171;1.000000;0.642470;
1.775286;0.642470;0.695807;0.710577;-1.070783;0.160620;0.737172;1.000000;0.642470;
1.794950;0.642470;0.695807;0.710577;-1.070783;0.160620;0.737173;1.000000;0.642470;
1.812647;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.830344;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.846272;0.642469;0.695808;0.710578;-1.070782;0.160619;0.737174;1.000000;0.642469;
1.862200;0.642469;0.695808;0.710578;-1.070782;0.160619;0.737175;1.000000;0.642469;
1.878127;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737175;1.000000;0.642469;
1.894055;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737175;1.000000;0.642469;
1.909982;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;0.642469;
1.925910;0.642469;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;0.642469;
1.941837;0.642468;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;0.642468;
1.957765;0.642468;0.695809;0.710578;-1.070781;0.160619;0.737176;1.000000;0.642468;
1.989620;0.642468;0.695809;0.710578;-1.070780;0.160619;0.737177;1.000000;0.642468;
2.000000;0.642468;0.695810;0.710578;-1.070780;0.160619;0.737177;1.000000;0.642468;
2.000000;1.070780;0.990680;1.110578;-1.070780;0.160619;0.737177;0.735425;1.070780;
2.000001;1.070719;0.990769;1.110591;-1.070719;0.160610;0.737266;0.735666;1.070719;
2.000002;1.070658;0.990858;1.110605;-1.070658;0.160601;0.737354;0.735907;1.070658;
2.000004;1.070536;0.991035;1.110631;-1.070536;0.160583;0.737532;0.736388;1.070536;
2.000008;1.070292;0.991389;1.110684;-1.070292;0.160546;0.737886;0.737349;1.070292;
2.000016;1.069807;0.992092;1.110790;-1.069807;0.160473;0.738589;0.739260;1.069807;
2.000032;1.068847;0.993481;1.110998;-1.068847;0.160329;0.739977;0.743043;1.068847;
2.000064;1.066967;0.996189;1.111404;-1.066967;0.160047;0.742685;0.750450;1.066967;
2.000128;1.063362;1.001340;1.112177;-1.063362;0.159507;0.747837;0.764659;1.063362;
2.000256;1.056741;1.010660;1.113575;-1.056741;0.158513;0.757158;0.790823;1.056741;
2.000384;1.050871;1.018773;1.114793;-1.050871;0.157633;0.765273;0.814189;1.050871;
2.000469;1.047332;1.023596;1.115516;-1.047332;0.157102;0.770099;0.828415;1.047332;
2.000469;1.047332;1.023596;1.115516;-1.047332;0.157102;0.770099;0.828415;1.047332;
2.000470;1.047290;1.023646;1.115524;-1.047290;0.157096;0.770150;0.828575;1.047290;
2.000471;1.047251;1.023699;1.115532;-1.047251;0.157090;0.770203;0.828734;1.047251;
2.000473;1.047173;1.023805;1.115548;-1.047173;0.157078;0.770310;0.829050;1.047173;
2.000477;1.047016;1.024017;1.115580;-1.047016;0.157055;0.770521;0.829682;1.047016;
2.000485;1.046704;1.024437;1.115643;-1.046704;0.157008;0.770942;0.830940;1.046704;
2.000501;1.046087;1.025265;1.115767;-1.046087;0.156915;0.771772;0.833427;1.046087;
2.000533;1.044877;1.026877;1.116010;-1.044877;0.156734;0.773389;0.838293;1.044877;
2.000597;1.042549;1.029925;1.116470;-1.042549;0.156384;0.776454;0.847613;1.042549;
2.000725;1.038233;1.035371;1.117296;-1.038233;0.155737;0.781959;0.864724;1.038233;
2.000853;1.034343;1.040011;1.118006;-1.034343;0.155154;0.786694;0.879943;1.034343;
2.000981;1.030837;1.043923;1.118612;-1.030837;0.154628;0.790736;0.893462;1.030837;
2.001109;1.027674;1.047179;1.119125;-1.027674;0.154153;0.794156;0.905464;1.027674;
2.001237;1.024815;1.049844;1.119554;-1.024815;0.153724;0.797018;0.916115;1.024815;
2.001365;1.022227;1.051977;1.119909;-1.022227;0.153336;0.799380;0.925563;1.022227;
2.001493;1.019876;1.053629;1.120196;-1.019876;0.152984;0.801293;0.933943;1.019876;
2.001621;1.017735;1.054846;1.120422;-1.017735;0.152662;0.802801;0.941371;1.017735;
2.001749;1.015777;1.055668;1.120593;-1.015777;0.152369;0.803945;0.947956;1.015777;
2.002005;1.012295;1.056306;1.120798;-1.012295;0.151846;0.805312;0.959059;1.012295;
2.002236;1.009585;1.055847;1.120842;-1.009585;0.151440;0.805604;0.966983;1.009585;
2.002462;1.007220;1.054585;1.120776;-1.007220;0.151085;0.805164;0.973237;1.007220;
2.002462;1.007220;1.054585;1.120776;-1.007220;0.151085;0.805164;0.973237;1.007220;
2.002463;1.007210;1.054577;1.120776;-1.007210;0.151084;0.805160;0.973261;1.007210;
2.002464;1.007200;1.054570;1.120775;-1.007200;0.151082;0.805157;0.973285;1.007200;
2.002466;1.007181;1.054555;1.120774;-1.007181;0.151079;0.805150;0.973333;1.007181;
2.002470;1.007142;1.054525;1.120772;-1.007142;0.151073;0.805135;0.973430;1.007142;
2.002478;1.007064;1.054465;1.120768;-1.007064;0.151062;0.805106;0.973621;1.007064;
2.002494;1.006909;1.054343;1.120758;-1.006909;0.151038;0.805045;0.974000;1.006909;
2.002526;1.006602;1.054088;1.120739;-1.006602;0.150992;0.804914;0.974741;1.006602;
2.002590;1.005999;1.053540;1.120695;-1.005999;0.150902;0.804619;0.976156;1.005999;
2.002718;1.004834;1.052298;1.120587;-1.004834;0.150727;0.803902;0.978746;1.004834;
2.002974;1.002629;1.049293;1.120304;-1.002629;0.150396;0.802015;0.983098;1.002629;
2.003230;1.000553;1.045654;1.119939;-1.000553;0.150085;0.799585;0.986501;1.000553;
2.003486;0.998561;1.041462;1.119504;-0.998561;0.149786;0.796684;0.989145;0.998561;
2.003742;0.996617;1.036785;1.119008;-0.996617;0.149495;0.793378;0.991189;0.996617;
2.003998;0.994691;1.031682;1.118459;-0.994691;0.149206;0.789719;0.992762;0.994691;
2.004254;0.992761;1.026201;1.117864;-0.992761;0.148916;0.785751;0.993966;0.992761;
2.004510;0.990811;1.020384;1.117228;-0.990811;0.148624;0.781511;0.994883;0.990811;
2.005022;0.986800;1.007905;1.115855;-0.986800;0.148022;0.772356;0.996149;0.986800;
2.005534;0.982615;0.994432;1.114363;-0.982615;0.147394;0.762408;0.996846;0.982615;
2.006046;0.978238;0.980125;1.112771;-0.978238;0.146738;0.751799;0.997190;0.978238;
2.006558;0.973666;0.965120;1.111096;-0.973666;0.146052;0.740633;0.997327;0.973666;
2.007070;0.968909;0.949530;1.109351;-0.968909;0.145338;0.728994;0.997346;0.968909;
2.008094;0.958938;0.917055;1.105697;-0.958938;0.143843;0.704640;0.997267;0.958938;
2.009118;0.948467;0.883231;1.101868;-0.948467;0.142272;0.679111;0.997115;0.948467;
2.010142;0.937652;0.848543;1.097914;-0.937652;0.140650;0.652749;0.996971;0.937652;
2.010679;0.931901;0.830173;1.095808;-0.931901;0.139787;0.638711;0.996911;0.931901;
2.010679;0.931900;0.830173;1.095808;-0.931900;0.139787;0.638712;0.996911;0.931900;
2.010680;0.931889;0.830138;1.095804;-0.931889;0.139785;0.638685;0.996910;0.931889;
2.010681;0.931878;0.830104;1.095800;-0.931878;0.139784;0.638659;0.996910;0.931878;
2.010683;0.931857;0.830035;1.095792;-0.931857;0.139780;0.638606;0.996910;0.931857;
2.010687;0.931814;0.829897;1.095776;-0.931814;0.139774;0.638501;0.996910;0.931814;
2.010695;0.931727;0.829622;1.095745;-0.931727;0.139761;0.638290;0.996909;0.931727;
