time;Generator_generator_UPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_PGenPu;Generator_generator_QGenPu;NETWORK_Load1_P;NETWORK_Load1_Q;NETWORK_Load2_P;NETWORK_Load2_Q;NETWORK_Load3_P;NETWORK_Load3_Q;NETWORK_Load4_P;NETWORK_Load4_Q;NETWORK_Transformer_i1_value;NETWORK_Transformer_i2_value;NETWORK_Transformer_P1_value;NETWORK_Transformer_P2_value;NETWORK_Transformer_Q1_value;NETWORK_Transformer_Q2_value;NETWORK_Transformer_iS1ToS2Side1_value;NETWORK_Transformer_iS2ToS1Side1_value;NETWORK_Transformer_iS1ToS2Side2_value;NETWORK_Transformer_iS2ToS1Side2_value;NETWORK_Transformer_iSide1_value;NETWORK_Transformer_iSide2_value;NETWORK_VL1_BUS1_U;NETWORK_VL1_BUS1_phi;NETWORK_VL2_BUS1_U;NETWORK_VL2_BUS1_phi;
5.5000000000;0.9999787625;9.0665231860;2.2697337438;0.0906652319;0.0226973374;0.0300536806;0.0100358191;0.0400715742;0.0050179096;0.0199995752;0.0049997876;0.0000000000;0.0000000000;0.0728420359;0.0728495973;-0.0701252551;0.0706656565;-0.0150537165;0.0176975533;-2102.7684523679;2102.7684523679;-4205.9734591818;4205.9734591818;2102.7684523679;4205.9734591818;1.9692706034;-26.3642847422;0.9999787625;-24.4108346883;
6.0000000000;0.9999872539;9.0666003072;2.2697675432;0.0906660031;0.0226976754;0.0300539381;0.0100359910;0.0400719174;0.0050179955;0.0199997451;0.0049998725;0.0000000000;0.0000000000;0.0728420625;0.0728496238;-0.0701258559;0.0706662579;-0.0150539692;0.0176978078;-2102.7692182045;2102.7692182045;-4205.9749934554;4205.9749934554;2102.7692182045;4205.9749934554;1.9692874712;-30.2739361210;0.9999872539;-28.3205033754;
6.5000000000;0.9999921240;9.0666445649;2.2697864668;0.0906664456;0.0226978647;0.0300540858;0.0100360897;0.0400721144;0.0050180448;0.0199998425;0.0049999212;0.0000000000;0.0000000000;0.0728420770;0.0728496384;-0.0701262007;0.0706666030;-0.0150541107;0.0176979502;-2102.7696385247;2102.7696385247;-4205.9758356212;4205.9758356212;2102.7696385247;4205.9758356212;1.9692971491;-34.4444211996;0.9999921240;-32.4909983570;
7.0000000000;0.9999946347;9.0666674157;2.2697956108;0.0906666742;0.0226979561;0.0300541620;0.0100361406;0.0400722160;0.0050180703;0.0199998927;0.0049999463;0.0000000000;0.0000000000;0.0728420837;0.0728496451;-0.0701263788;0.0706667812;-0.0150541789;0.0176980189;-2102.7698303741;2102.7698303741;-4205.9762201513;4205.9762201513;2102.7698303741;4205.9762201513;1.9693021431;-38.8684857240;0.9999946347;-36.9150679547;
7.5000000000;0.9999957365;9.0666774904;2.2697988103;0.0906667749;0.0226979881;0.0300541955;0.0100361630;0.0400722607;0.0050180815;0.0199999147;0.0049999574;0.0000000000;0.0000000000;0.0728420854;0.0728496469;-0.0701264573;0.0706668599;-0.0150542026;0.0176980427;-2102.7698818064;2102.7698818064;-4205.9763234402;4205.9763234402;2102.7698818064;4205.9763234402;1.9693043409;-43.5387622454;0.9999957365;-41.5853466598;
8.0000000000;0.9999960793;9.0666806930;2.2697986832;0.0906668069;0.0226979868;0.0300542061;0.0100361700;0.0400722748;0.0050180850;0.0199999216;0.0049999608;0.0000000000;0.0000000000;0.0728420844;0.0728496459;-0.0701264824;0.0706668849;-0.0150542013;0.0176980414;-2102.7698529037;2102.7698529037;-4205.9762658494;4205.9762658494;2102.7698529037;4205.9762658494;1.9693050336;-48.4479331567;0.9999960793;-46.4945181913;
8.5000000000;0.9999960714;9.0666807290;2.2697968666;0.0906668073;0.0226979687;0.0300542061;0.0100361700;0.0400722747;0.0050180850;0.0199999214;0.0049999607;0.0000000000;0.0000000000;0.0728420820;0.0728496434;-0.0701264828;0.0706668853;-0.0150541874;0.0176980272;-2102.7697812144;2102.7697812144;-4205.9761225996;4205.9761225996;2102.7697812144;4205.9761225996;1.9693050315;-53.5888266453;0.9999960714;-51.6354115692;
9.0000000000;0.9999959461;9.0666797200;2.2697942916;0.0906667972;0.0226979429;0.0300542025;0.0100361676;0.0400722700;0.0050180838;0.0199999189;0.0049999595;0.0000000000;0.0000000000;0.0728420787;0.0728496402;-0.0701264751;0.0706668775;-0.0150541677;0.0176980073;-2102.7696880739;2102.7696880739;-4205.9759364327;4205.9759364327;2102.7696880739;4205.9759364327;1.9693047987;-58.9544662828;0.9999959461;-57.0010508404;
9.5000000000;0.9999958220;9.0666787446;2.2697914248;0.0906667874;0.0226979142;0.0300541990;0.0100361653;0.0400722654;0.0050180827;0.0199999164;0.0049999582;0.0000000000;0.0000000000;0.0728420751;0.0728496366;-0.0701264677;0.0706668701;-0.0150541458;0.0176979852;-2102.7695841686;2102.7695841686;-4205.9757287585;4205.9757287585;2102.7695841686;4205.9757287585;1.9693045705;-64.5380912543;0.9999958220;-62.5846754315;
10.0000000000;0.9999957484;9.0666782511;2.2697884536;0.0906667825;0.0226978845;0.0000000000;0.0000000000;0.0400722628;0.0050180820;0.0199999150;0.0049999575;0.0000000000;0.0000000000;0.0728420713;0.0728496328;-0.0701264641;0.0706668664;-0.0150541230;0.0176979621;-2102.7694737887;2102.7694737887;-4205.9755081731;4205.9755081731;2102.7694737887;4205.9755081731;1.9693044450;-70.3331596432;0.9999957484;-68.3797435256;
10.0000000000;1.0270746049;6.2238416806;1.1493134807;0.0622384168;0.0114931348;0.0000000000;0.0000000000;0.0415180316;0.0053867092;0.0205414921;0.0052744112;0.0000000000;0.0000000000;0.0410379760;0.0410467819;-0.0415180329;0.0416969243;-0.0053867114;0.0062187229;-1184.6643232211;1184.6643232211;-2369.8370584199;2369.8370584199;1184.6643232211;2369.8370584199;2.0403550615;-66.6136402495;1.0270746049;-65.5075398937;
10.5000000000;1.0152327001;6.1520491434;1.1248093605;0.0615204914;0.0112480936;0.0000000000;0.0000000000;0.0410372498;0.0052626746;0.0203046540;0.0051534872;0.0000000000;0.0000000000;0.0410301530;0.0410388737;-0.0410372503;0.0412158372;-0.0052626781;0.0060946047;-1184.4384951653;1184.4384951653;-2369.3804769731;2369.3804769731;1184.4384951653;2369.3804769731;2.0167275992;9.8070862834;1.0152327001;10.9264311908;
11.0000000000;1.0159712113;6.1565265933;1.1263285350;0.0615652659;0.0112632854;0.0000000000;0.0000000000;0.0410672335;0.0052703677;0.0203194242;0.0051609875;0.0000000000;0.0000000000;0.0410306387;0.0410393647;-0.0410672351;0.0412458409;-0.0052703665;0.0061022984;-1184.4525161778;1184.4525161778;-2369.4088269188;2369.4088269188;1184.4525161778;2369.4088269188;2.0182011151;156.9694820859;1.0159712113;158.0879920332;
11.2500000000;1.0153216480;6.1525884610;1.1249911721;0.0615258846;0.0112499117;0.0000000000;0.0000000000;0.0410408612;0.0052636009;0.0203064330;0.0051543902;0.0000000000;0.0000000000;0.0410302108;0.0410389321;-0.0410408621;0.0412194512;-0.0052635965;0.0060955237;-1184.4401620464;1184.4401620464;-2369.3838479440;2369.3838479440;1184.4401620464;2369.3838479440;2.0169050799;-111.2670273948;1.0153216480;-110.1477830695;
11.5000000000;1.0138681028;6.1437761058;1.1220033807;0.0614377611;0.0112200338;0.0000000000;0.0000000000;0.0409818470;0.0052484743;0.0202773621;0.0051396426;0.0000000000;0.0000000000;0.0410292564;0.0410379672;-0.0409818470;0.0411603990;-0.0052484743;0.0060803912;-1184.4126121360;1184.4126121360;-2369.3281419060;2369.3281419060;1184.4126121360;2369.3281419060;2.0140048946;-1.4460123154;1.0138681028;-0.3251212848;
11.6250000000;1.0129879056;6.1384399469;1.1201958076;0.0613843995;0.0112019581;0.0000000000;0.0000000000;0.0409461108;0.0052393250;0.0202597581;0.0051307225;0.0000000000;0.0000000000;0.0410286800;0.0410373844;-0.0409461115;0.0411246410;-0.0052393250;0.0060712356;-1184.3959717366;1184.3959717366;-2369.2944938851;2369.2944938851;1184.3959717366;2369.2944938851;2.0122486829;57.9531726820;1.0129879056;59.0750632240;
11.7500000000;1.0120133148;6.1325316545;1.1181962427;0.0613253165;0.0111819624;0.0000000000;0.0000000000;0.0409065423;0.0052292037;0.0202402663;0.0051208547;0.0000000000;0.0000000000;0.0410280431;0.0410367405;-0.0409065445;0.0410850492;-0.0052292039;0.0060611076;-1184.3775872772;1184.3775872772;-2369.2573182127;2369.2573182127;1184.3775872772;2369.2573182127;2.0103041317;121.8131553319;1.0120133148;122.9361546257;
11.8750000000;1.0109873846;6.1263125739;1.1160935153;0.0612631257;0.0111609352;0.0000000000;0.0000000000;0.0408648893;0.0052185599;0.0202197477;0.0051104775;0.0000000000;0.0000000000;0.0410273764;0.0410360664;-0.0408648961;0.0410433747;-0.0052185606;0.0060504573;-1184.3583406980;1184.3583406980;-2369.2183967019;2369.2183967019;1184.3583406980;2369.2183967019;2.0082571438;-169.8946962838;1.0109873846;-168.7705274395;
12.0000000000;1.0099443584;6.1199910829;1.1139582591;0.0611999108;0.0111395826;0.0000000000;0.0000000000;0.0408225421;0.0052077498;0.0201988872;0.0050999380;0.0000000000;0.0000000000;0.0410267076;0.0410353901;-0.0408225618;0.0410010140;-0.0052077530;0.0060396428;-1184.3390349354;1184.3390349354;-2369.1793494934;2369.1793494934;1184.3390349354;2369.1793494934;2.0061760404;-97.1991248550;1.0099443584;-96.0737643123;
12.1250000000;1.0089105458;6.1137205833;1.1118430382;0.0611372058;0.0111184304;0.0000000000;0.0000000000;0.0407805692;0.0051970463;0.0201782109;0.0050895024;0.0000000000;0.0000000000;0.0410260125;0.0410346875;-0.0407805692;0.0409589949;-0.0051970463;0.0060289279;-1184.3189693014;1184.3189693014;-2369.1387862380;2369.1387862380;1184.3189693014;2369.1387862380;2.0041133326;-20.1290869849;1.0089105458;-19.0025437295;
12.2500000000;1.0079079892;6.1076425191;1.1097943992;0.0610764252;0.0110979440;0.0000000000;0.0000000000;0.0407398651;0.0051866769;0.0201581598;0.0050793926;0.0000000000;0.0000000000;0.0410253584;0.0410340261;-0.0407398651;0.0409182654;-0.0051866769;0.0060185514;-1184.3000872326;1184.3000872326;-2369.1006029928;2369.1006029928;1184.3000872326;2369.1006029928;2.0021129798;61.2862661052;1.0079079892;62.4139591591;
12.3750000000;1.0069523167;6.1018486939;1.1078434638;0.0610184869;0.0110784346;0.0000000000;0.0000000000;0.0407010646;0.0051768021;0.0201390463;0.0050697648;0.0000000000;0.0000000000;0.0410247355;0.0410333963;-0.0407010646;0.0408794406;-0.0051768021;0.0060086698;-1184.2821054646;1184.2821054646;-2369.0642397932;2369.0642397932;1184.2821054646;2369.0642397932;2.0002061719;147.0173637451;1.0069523167;148.1461549596;
12.5000000000;1.0060551843;6.0964097731;1.1060137203;0.0609640977;0.0110601372;0.0000000000;0.0000000000;0.0406646408;0.0051675406;0.0201211037;0.0050607352;0.0000000000;0.0000000000;0.0410241513;0.0410328056;-0.0406646408;0.0408429940;-0.0051675406;0.0059994020;-1184.2652406351;1184.2652406351;-2369.0301348143;2369.0301348143;1184.2652406351;2369.0301348143;1.9984161656;-122.9657975945;1.0060551843;-121.8359735887;
12.6250000000;1.0052245052;6.0913737341;1.1043209644;0.0609137373;0.0110432096;0.0000000000;0.0000000000;0.0406309149;0.0051589727;0.0201044901;0.0050523815;0.0000000000;0.0000000000;0.0410236109;0.0410322591;-0.0406309150;0.0408092472;-0.0051589726;0.0059908281;-1184.2496389071;1184.2496389071;-2368.9985837210;2368.9985837210;1184.2496389071;2368.9985837210;1.9967587498;-28.6937005810;1.0052245052;-27.5629186408;
12.7500000000;1.0044650371;6.0867694348;1.1027745301;0.0608676943;0.0110277453;0.0000000000;0.0000000000;0.0406000803;0.0051511454;0.0200893007;0.0050447501;0.0000000000;0.0000000000;0.0410231172;0.0410317600;-0.0406000805;0.0407783935;-0.0051511452;0.0059829953;-1184.2353887884;1184.2353887884;-2368.9697655497;2368.9697655497;1184.2353887884;2368.9697655497;1.9952434178;69.8026823683;1.0044650371;70.9343415137;
12.8750000000;1.0037789204;6.0826099105;1.1013783868;0.0608260991;0.0110137839;0.0000000000;0.0000000000;0.0405722238;0.0051440792;0.0200755784;0.0050378606;0.0000000000;0.0000000000;0.0410226720;0.0410313098;-0.0405722246;0.0407505203;-0.0051440783;0.0059759237;-1184.2225373178;1184.2225373178;-2368.9437753082;2368.9437753082;1184.2225373178;2368.9437753082;1.9938744404;172.4919016819;1.0037789204;173.6243544690;
13.0000000000;1.0031661832;6.0788955693;1.1001320818;0.0607889557;0.0110013208;0.0000000000;0.0000000000;0.0405473465;0.0051377728;0.0200633237;0.0050317120;0.0000000000;0.0000000000;0.0410222766;0.0410309099;-0.0405473500;0.0407256302;-0.0051377695;0.0059696106;-1184.2111220829;1184.2111220829;-2368.9206882336;2368.9206882336;1184.2111220829;2368.9206882336;1.9926518750;-80.6579402619;1.0031661832;-79.5247777219;
13.1250000000;1.0026252509;6.0756177552;1.0990314228;0.0607561776;0.0109903142;0.0000000000;0.0000000000;0.0405253846;0.0051322087;0.0200525050;0.0050262870;0.0000000000;0.0000000000;0.0410219350;0.0410305644;-0.0405253988;0.0407036654;-0.0051321961;0.0059640338;-1184.2012619820;1184.2012619820;-2368.9007415730;2368.9007415730;1184.2012619820;2368.9007415730;1.9915725833;30.3208468633;1.0026252509;31.4546369806;
13.2500000000;1.0021523894;6.0727488406;1.0980728125;0.0607274884;0.0109807281;0.0000000000;0.0000000000;0.0405061860;0.0051273472;0.0200430478;0.0050215471;0.0000000000;0.0000000000;0.0410216158;0.0410302417;-0.0405061860;0.0406844406;-0.0051273472;0.0059591811;-1184.1920456345;1184.1920456345;-2368.8821105039;2368.8821105039;1184.1920456345;2368.8821105039;1.9906290939;145.3956665715;1.0021523894;146.5300050524;
13.3750000000;1.0017444110;6.0702754478;1.0972444958;0.0607027545;0.0109724450;0.0000000000;0.0000000000;0.0404896220;0.0051231546;0.0200348882;0.0050174593;0.0000000000;0.0000000000;0.0410213513;0.0410299743;-0.0404896220;0.0406678663;-0.0051231546;0.0059549856;-1184.1844104763;1184.1844104763;-2368.8666691991;2368.8666691991;1184.1844104763;2368.8666691991;1.9898150722;-95.4664311598;1.0017444110;-94.3316187274;
13.6250000000;1.0011543058;6.0666979004;1.0960470054;0.0606669790;0.0109604701;0.0000000000;0.0000000000;0.0404656635;0.0051170935;0.0200230861;0.0050115497;0.0000000000;0.0000000000;0.0410209689;0.0410295876;-0.0404656635;0.0406438929;-0.0051170935;0.0059489203;-1184.1733722560;1184.1733722560;-2368.8443453899;2368.8443453899;1184.1733722560;2368.8443453899;1.9886376605;158.7950464446;1.0011543058;159.9305450902;
13.8750000000;1.0007394302;6.0641826928;1.0952055288;0.0606418269;0.0109520553;0.0000000000;0.0000000000;0.0404488194;0.0051128343;0.0200147886;0.0050073970;0.0000000000;0.0000000000;0.0410207002;0.0410293159;-0.0404488194;0.0406270383;-0.0051128343;0.0059446583;-1184.1656156575;1184.1656156575;-2368.8286582450;2368.8286582450;1184.1656156575;2368.8286582450;1.9878098767;68.7750425837;1.0007394302;69.9110241586;
14.0000000000;1.0005673962;6.0631397269;1.0948567013;0.0606313973;0.0109485670;0.0000000000;0.0000000000;0.0404418347;0.0051110687;0.0200113479;0.0050056756;0.0000000000;0.0000000000;0.0410205888;0.0410292033;-0.0404418347;0.0406200493;-0.0051110687;0.0059428914;-1184.1624002091;1184.1624002091;-2368.8221552098;2368.8221552098;1184.1624002091;2368.8221552098;1.9874666246;-152.3385964018;1.0005673962;-151.2024144561;
14.1250000000;1.0004300452;6.0623070287;1.0945782422;0.0606230703;0.0109457824;0.0000000000;0.0000000000;0.0404362582;0.0051096593;0.0200086009;0.0050043014;0.0000000000;0.0000000000;0.0410204999;0.0410291134;-0.0404362582;0.0406144694;-0.0051096593;0.0059414810;-1184.1598334252;1184.1598334252;-2368.8169640436;2368.8169640436;1184.1598334252;2368.8169640436;1.9871925739;-9.5890021937;1.0004300452;-8.4526602234;
14.2500000000;1.0003230912;6.0616586173;1.0943614306;0.0606165862;0.0109436143;0.0000000000;0.0000000000;0.0404319159;0.0051085619;0.0200064618;0.0050032314;0.0000000000;0.0000000000;0.0410204307;0.0410290434;-0.0404319159;0.0406101243;-0.0051085619;0.0059403829;-1184.1578354319;1184.1578354319;-2368.8129232041;2368.8129232041;1184.1578354319;2368.8129232041;1.9869791731;136.9907097331;1.0003230912;138.1271763443;
14.3750000000;1.0002422511;6.0611685728;1.0941974980;0.0606116857;0.0109419750;0.0000000000;0.0000000000;0.0404286337;0.0051077326;0.0200048450;0.0050024228;0.0000000000;0.0000000000;0.0410203787;0.0410289907;-0.0404286341;0.0406068405;-0.0051077320;0.0059395525;-1184.1563332946;1184.1563332946;-2368.8098850349;2368.8098850349;1184.1563332946;2368.8098850349;1.9868178765;-72.6324104595;1.0002422511;-71.4958496095;
14.6250000000;1.0001601745;6.0606710268;1.0940313113;0.0606067103;0.0109403131;0.0000000000;0.0000000000;0.0404253014;0.0051068906;0.0200032035;0.0050016019;0.0000000000;0.0000000000;0.0410203260;0.0410289375;-0.0404253021;0.0406035064;-0.0051068911;0.0059387110;-1184.1548134728;1184.1548134728;-2368.8068109520;2368.8068109520;1184.1548134728;2368.8068109520;1.9866541113;-116.9506445337;1.0001601745;-115.8139879976;
15.1250000000;1.0001476722;6.0605952691;1.0940058357;0.0606059527;0.0109400584;0.0000000000;0.0000000000;0.0404247938;0.0051067624;0.0200029534;0.0050014768;0.0000000000;0.0000000000;0.0410203181;0.0410289294;-0.0404247947;0.0406029988;-0.0051067619;0.0059385817;-1184.1545834827;1184.1545834827;-2368.8063457434;2368.8063457434;1184.1545834827;2368.8063457434;1.9866291669;-147.8910985041;1.0001476722;-146.7544273795;
15.6250000000;1.0001803501;6.0607932396;1.0940721234;0.0606079324;0.0109407212;0.0000000000;0.0000000000;0.0404261205;0.0051070976;0.0200036070;0.0050018037;0.0000000000;0.0000000000;0.0410203383;0.0410289499;-0.0404261205;0.0406043254;-0.0051070976;0.0059389176;-1184.1551684871;1184.1551684871;-2368.8075294490;2368.8075294490;1184.1551684871;2368.8075294490;1.9866943676;-123.0647131668;1.0001803501;-121.9280801696;
16.1250000000;1.0002198294;6.0610325843;1.0941521360;0.0606103258;0.0109415214;0.0000000000;0.0000000000;0.0404277234;0.0051075026;0.0200043966;0.0050021985;0.0000000000;0.0000000000;0.0410203639;0.0410289758;-0.0404277234;0.0406059293;-0.0051075026;0.0059393228;-1184.1559059185;1184.1559059185;-2368.8090208697;2368.8090208697;1184.1559059185;2368.8090208697;1.9867731389;-44.3153027064;1.0002198294;-43.1787157330;
16.6250000000;1.0002505083;6.0612186122;1.0942143505;0.0606121861;0.0109421435;0.0000000000;0.0000000000;0.0404289690;0.0051078173;0.0200050102;0.0050025054;0.0000000000;0.0000000000;0.0410203840;0.0410289961;-0.0404289692;0.0406071758;-0.0051078175;0.0059396380;-1184.1564867408;1184.1564867408;-2368.8101953777;2368.8101953777;1184.1564867408;2368.8101953777;1.9868343510;86.5949021771;1.0002505083;87.7314533939;
16.8750000000;1.0002564748;6.0612547478;1.0942264088;0.0606125475;0.0109422641;0.0000000000;0.0000000000;0.0404292112;0.0051078785;0.0200051295;0.0050025651;0.0000000000;0.0000000000;0.0410203876;0.0410289997;-0.0404292112;0.0406074180;-0.0051078785;0.0059396990;-1184.1565902325;1184.1565902325;-2368.8104048667;2368.8104048667;1184.1565902325;2368.8104048667;1.9868462560;164.8757350483;1.0002564748;166.0122793044;
17.1250000000;1.0002617431;6.0612867039;1.0942370642;0.0606128670;0.0109423706;0.0000000000;0.0000000000;0.0404294251;0.0051079325;0.0200052349;0.0050026178;0.0000000000;0.0000000000;0.0410203911;0.0410290033;-0.0404294252;0.0406076321;-0.0051079324;0.0059397529;-1184.1566912484;1184.1566912484;-2368.8106091105;2368.8106091105;1184.1566912484;2368.8106091105;1.9868567678;-104.2275431724;1.0002617431;-103.0910050532;
17.3750000000;1.0002659809;6.0613125639;1.0942458344;0.0606131256;0.0109424583;0.0000000000;0.0000000000;0.0404295971;0.0051079760;0.0200053196;0.0050026602;0.0000000000;0.0000000000;0.0410203951;0.0410290073;-0.0404295984;0.0406078054;-0.0051079770;0.0059397977;-1184.1568075391;1184.1568075391;-2368.8108434526;2368.8108434526;1184.1568075391;2368.8108434526;1.9868652218;-0.9203870525;1.0002659809;0.2161461531;
17.5000000000;1.0002660363;6.0613127945;1.0942458128;0.0606131279;0.0109424581;0.0000000000;0.0000000000;0.0404295994;0.0051079766;0.0200053207;0.0050026607;0.0000000000;0.0000000000;0.0410203943;0.0410290066;-0.0404295999;0.0406078070;-0.0051079767;0.0059397973;-1184.1567850137;1184.1567850137;-2368.8107984380;2368.8107984380;1184.1567850137;2368.8107984380;1.9868653335;-126.1895574907;1.0002660363;-125.0530243649;
17.6250000000;1.0002660413;6.0613128164;1.0942458327;0.0606131282;0.0109424583;0.0000000000;0.0000000000;0.0404295996;0.0051079766;0.0200053208;0.0050026608;0.0000000000;0.0000000000;0.0410203943;0.0410290065;-0.0404296001;0.0406078071;-0.0051079768;0.0059397974;-1184.1567836564;1184.1567836564;-2368.8107957243;2368.8107957243;1184.1567836564;2368.8107957243;1.9868653434;111.5934732218;1.0002660413;112.7300063396;
17.7500000000;1.0002660187;6.0613126613;1.0942457847;0.0606131266;0.0109424578;0.0000000000;0.0000000000;0.0404295987;0.0051079764;0.0200053204;0.0050026605;0.0000000000;0.0000000000;0.0410203941;0.0410290064;-0.0404295990;0.0406078061;-0.0051079766;0.0059397972;-1184.1567797032;1184.1567797032;-2368.8107878082;2368.8107878082;1184.1567797032;2368.8107878082;1.9868652983;-7.5961229432;1.0002660187;-6.4595898024;
