2019-10-01 15:41:54 | DEBUG |  ============================================================ 
2019-10-01 15:41:54 | DEBUG | DYNAWO VERSION  :     1.0.1
2019-10-01 15:41:54 | DEBUG | DYNAWO REVISION :  383_Modelica_3_2_3-9812f9b
2019-10-01 15:41:54 | DEBUG |  ============================================================ 
2019-10-01 15:42:56 | DEBUG | connecting OpenLine_event_state1 with Network_line2_switchOffSignal2
2019-10-01 15:42:56 | DEBUG | connecting Network_tfo_terminal2 with SM_gen_terminal
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; curve: gen_cePu found. (exact name)
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; curve: gen_PePu found. (exact name)
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; curve: gen_cmPu found. (exact name)
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; output: gen_PmPu found.( gen_PmPu_value )
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; curve: gen_ufPu found. (exact name)
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; output: gen_efdPu found.( gen_efdPu_value )
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; output: gen_omegaPu found.( gen_omegaPu_value )
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; curve: gen_theta found. (exact name)
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; curve: gen_PGenPu found. (exact name)
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; curve: gen_QGenPu found. (exact name)
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; curve: gen_PGen found. (exact name)
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; curve: gen_QGen found. (exact name)
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; curve: gen_UPu found. (exact name)
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; output: gen_IStatorPu found.( gen_IStatorPu_value )
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; output: gen_IRotorPu found.( gen_IRotorPu_value )
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; output: gen_UStatorPu found.( gen_UStatorPu_value )
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; output: gen_QStatorPu found.( gen_QStatorPu_value )
2019-10-01 15:42:56 | INFO | adding curve : Id: SM; output: gen_thetaInternal found.( gen_thetaInternal_value )
2019-10-01 15:42:56 | DEBUG | call of SolverReInit ie a new symbolic and numerical factorization will be performed
2019-10-01 15:42:56 | DEBUG | -----------------------------------------------------------------------
2019-10-01 15:42:56 | DEBUG | number of continuous variables : 91 (display limited to 4 variables)
2019-10-01 15:42:56 | DEBUG | number of discrete variables : 18
2019-10-01 15:42:56 | DEBUG | -----------------------------------------------------------------------
2019-10-01 15:42:56 | DEBUG |     t              y1            y2            y3            y4      | nst k      h
2019-10-01 15:42:56 | DEBUG |        1.001  2.853089e-01  3.262928e-01  0.000000e+00  9.008100e-01 |   5 2 8.000000e-06 
2019-10-01 15:42:56 | DEBUG |        1.001  2.853090e-01  3.262282e-01  0.000000e+00  9.008100e-01 |   6 2 1.600000e-05 
2019-10-01 15:42:56 | DEBUG |        1.001  2.853092e-01  3.260991e-01  0.000000e+00  9.008100e-01 |   7 2 3.200000e-05 
2019-10-01 15:42:56 | DEBUG |        1.001  2.853098e-01  3.258411e-01  0.000000e+00  9.008100e-01 |   8 2 6.400000e-05 
2019-10-01 15:42:56 | DEBUG |        1.001  2.853113e-01  3.253265e-01  0.000000e+00  9.008100e-01 |   9 2 1.280000e-04 
2019-10-01 15:42:56 | DEBUG |        1.001  2.853159e-01  3.243026e-01  0.000000e+00  9.008100e-01 |  10 2 2.560000e-04 
2019-10-01 15:42:56 | DEBUG |        1.002  2.853312e-01  3.222752e-01  0.000000e+00  9.008100e-01 |  11 2 5.120000e-04 
2019-10-01 15:42:56 | DEBUG |        1.003  2.853860e-01  3.183007e-01  0.000000e+00  9.008100e-01 |  12 2 1.024000e-03 
2019-10-01 15:42:56 | DEBUG |        1.005  2.855853e-01  3.106578e-01  0.000000e+00  9.008100e-01 |  13 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.007  2.858960e-01  3.034043e-01  0.000000e+00  9.008100e-01 |  14 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.009  2.863076e-01  2.965149e-01  0.000000e+00  9.008100e-01 |  15 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.011  2.868105e-01  2.899648e-01  0.000000e+00  9.008100e-01 |  16 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.013  2.873959e-01  2.837303e-01  0.000000e+00  9.008100e-01 |  17 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.015  2.880559e-01  2.777891e-01  0.000000e+00  9.008100e-01 |  18 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.017  2.887832e-01  2.721201e-01  0.000000e+00  9.008100e-01 |  19 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.019  2.895716e-01  2.667034e-01  0.000000e+00  9.008100e-01 |  20 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.021  2.904152e-01  2.615204e-01  0.000000e+00  9.008100e-01 |  21 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.023  2.913089e-01  2.565535e-01  0.000000e+00  9.008100e-01 |  22 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.025  2.922480e-01  2.517861e-01  0.000000e+00  9.008100e-01 |  23 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.027  2.932285e-01  2.472027e-01  0.000000e+00  9.008100e-01 |  24 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.029  2.942466e-01  2.427886e-01  0.000000e+00  9.008100e-01 |  25 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.033  2.963794e-01  2.343986e-01  0.000000e+00  9.008100e-01 |  26 2 4.096000e-03 
2019-10-01 15:42:56 | DEBUG |        1.037  2.983982e-01  2.272983e-01  0.000000e+00  9.008100e-01 |  27 2 3.686400e-03 
2019-10-01 15:42:56 | DEBUG |        1.041  3.004970e-01  2.205548e-01  0.000000e+00  9.008100e-01 |  28 2 3.686400e-03 
2019-10-01 15:42:56 | DEBUG |        1.044  3.026635e-01  2.141121e-01  0.000000e+00  9.008100e-01 |  29 2 3.686400e-03 
2019-10-01 15:42:56 | DEBUG |        1.048  3.048885e-01  2.079175e-01  0.000000e+00  9.008100e-01 |  30 2 3.686400e-03 
2019-10-01 15:42:56 | DEBUG |        1.052  3.071637e-01  2.019235e-01  0.000000e+00  9.008100e-01 |  31 2 3.686400e-03 
2019-10-01 15:42:56 | DEBUG |        1.056  3.094816e-01  1.960870e-01  0.000000e+00  9.008100e-01 |  32 2 3.686400e-03 
2019-10-01 15:42:56 | DEBUG |        1.059  3.118357e-01  1.903694e-01  0.000000e+00  9.008100e-01 |  33 2 3.686400e-03 
2019-10-01 15:42:56 | DEBUG |        1.063  3.142200e-01  1.847356e-01  0.000000e+00  9.008100e-01 |  34 2 3.686400e-03 
2019-10-01 15:42:56 | DEBUG |        1.067  3.166288e-01  1.791541e-01  0.000000e+00  9.008100e-01 |  35 2 3.686400e-03 
2019-10-01 15:42:56 | DEBUG | Algebraic mode (with J recalculation) change for model Network
2019-10-01 15:42:56 | DEBUG |        1.070  3.188868e-01  1.739602e-01  0.000000e+00  9.008100e-01 |  36 2 7.372800e-03 
2019-10-01 15:42:56 | DEBUG | calculation of the new starting point of the simulation.
2019-10-01 15:42:56 | DEBUG | call of SolverReInit ie a new symbolic and numerical factorization will be performed
2019-10-01 15:42:56 | DEBUG |        1.070  5.904288e-01  5.850210e-01  0.000000e+00  9.008100e-01 |   0 0 0.000000e+00 
2019-10-01 15:42:56 | DEBUG |        1.070  5.904315e-01  5.850241e-01  0.000000e+00  9.008100e-01 |   1 1 1.000000e-06 
2019-10-01 15:42:56 | DEBUG |        1.070  5.904342e-01  5.850272e-01  0.000000e+00  9.008100e-01 |   2 1 1.000000e-06 
2019-10-01 15:42:56 | DEBUG |        1.070  5.904396e-01  5.850334e-01  0.000000e+00  9.008100e-01 |   3 2 2.000000e-06 
2019-10-01 15:42:56 | DEBUG |        1.070  5.904504e-01  5.850458e-01  0.000000e+00  9.008100e-01 |   4 2 4.000000e-06 
2019-10-01 15:42:56 | DEBUG |        1.070  5.904720e-01  5.850706e-01  0.000000e+00  9.008100e-01 |   5 2 8.000000e-06 
2019-10-01 15:42:56 | DEBUG |        1.070  5.905152e-01  5.851201e-01  0.000000e+00  9.008100e-01 |   6 2 1.600000e-05 
2019-10-01 15:42:56 | DEBUG |        1.070  5.906015e-01  5.852191e-01  0.000000e+00  9.008100e-01 |   7 2 3.200000e-05 
2019-10-01 15:42:56 | DEBUG |        1.070  5.907739e-01  5.854167e-01  0.000000e+00  9.008100e-01 |   8 2 6.400000e-05 
2019-10-01 15:42:56 | DEBUG |        1.070  5.911183e-01  5.858104e-01  0.000000e+00  9.008100e-01 |   9 2 1.280000e-04 
2019-10-01 15:42:56 | DEBUG |        1.071  5.918047e-01  5.865918e-01  0.000000e+00  9.008100e-01 |  10 2 2.560000e-04 
2019-10-01 15:42:56 | DEBUG |        1.071  5.931686e-01  5.881313e-01  0.000000e+00  9.008100e-01 |  11 2 5.120000e-04 
2019-10-01 15:42:56 | DEBUG |        1.072  5.958613e-01  5.911182e-01  0.000000e+00  9.008100e-01 |  12 2 1.024000e-03 
2019-10-01 15:42:56 | DEBUG |        1.074  6.011145e-01  5.967368e-01  0.000000e+00  9.008100e-01 |  13 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.076  6.061998e-01  6.018989e-01  0.000000e+00  9.008100e-01 |  14 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.078  6.111287e-01  6.066267e-01  0.000000e+00  9.008100e-01 |  15 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.080  6.159131e-01  6.109420e-01  0.000000e+00  9.008100e-01 |  16 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.082  6.205636e-01  6.148657e-01  0.000000e+00  9.008100e-01 |  17 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.084  6.250901e-01  6.184173e-01  0.000000e+00  9.008100e-01 |  18 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.086  6.295018e-01  6.216155e-01  0.000000e+00  9.008100e-01 |  19 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.088  6.338069e-01  6.244778e-01  0.000000e+00  9.008100e-01 |  20 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.090  6.380130e-01  6.270208e-01  0.000000e+00  9.008100e-01 |  21 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.093  6.421268e-01  6.292603e-01  0.000000e+00  9.008100e-01 |  22 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.097  6.501155e-01  6.329019e-01  0.000000e+00  9.008100e-01 |  23 2 4.096000e-03 
2019-10-01 15:42:56 | DEBUG |        1.101  6.578025e-01  6.355002e-01  0.000000e+00  9.008100e-01 |  24 2 4.096000e-03 
2019-10-01 15:42:56 | DEBUG |        1.105  6.652208e-01  6.371487e-01  0.000000e+00  9.008100e-01 |  25 2 4.096000e-03 
2019-10-01 15:42:56 | DEBUG |        1.109  6.723995e-01  6.379338e-01  0.000000e+00  9.008100e-01 |  26 2 4.096000e-03 
2019-10-01 15:42:56 | DEBUG |        1.113  6.793621e-01  6.379352e-01  0.000000e+00  9.008100e-01 |  27 2 4.096000e-03 
2019-10-01 15:42:56 | DEBUG |        1.117  6.861280e-01  6.372251e-01  0.000000e+00  9.008100e-01 |  28 2 4.096000e-03 
2019-10-01 15:42:56 | DEBUG |        1.121  6.927128e-01  6.358690e-01  0.000000e+00  9.008100e-01 |  29 2 4.096000e-03 
2019-10-01 15:42:56 | DEBUG |        1.125  6.991291e-01  6.339263e-01  0.000000e+00  9.008100e-01 |  30 2 4.096000e-03 
2019-10-01 15:42:56 | DEBUG |        1.129  7.053867e-01  6.314511e-01  0.000000e+00  9.008100e-01 |  31 2 4.096000e-03 
2019-10-01 15:42:56 | DEBUG |        1.138  7.174833e-01  6.251431e-01  0.000000e+00  9.008100e-01 |  32 2 8.192000e-03 
2019-10-01 15:42:56 | DEBUG |        1.146  7.290058e-01  6.172514e-01  0.000000e+00  9.008100e-01 |  33 2 8.192000e-03 
2019-10-01 15:42:56 | DEBUG |        1.154  7.399785e-01  6.080537e-01  0.000000e+00  9.008100e-01 |  34 2 8.192000e-03 
2019-10-01 15:42:56 | DEBUG |        1.162  7.504211e-01  5.977962e-01  0.000000e+00  9.008100e-01 |  35 2 8.192000e-03 
2019-10-01 15:42:56 | DEBUG |        1.170  7.603417e-01  5.866972e-01  0.000000e+00  9.008100e-01 |  36 2 8.192000e-03 
2019-10-01 15:42:56 | DEBUG |        1.179  7.697471e-01  5.749463e-01  0.000000e+00  9.008100e-01 |  37 2 8.192000e-03 
2019-10-01 15:42:56 | DEBUG |        1.187  7.786432e-01  5.627093e-01  0.000000e+00  9.008100e-01 |  38 2 8.192000e-03 
2019-10-01 15:42:56 | DEBUG |        1.195  7.870365e-01  5.501319e-01  0.000000e+00  9.008100e-01 |  39 2 8.192000e-03 
2019-10-01 15:42:56 | DEBUG |        1.211  8.023846e-01  5.245604e-01  0.000000e+00  9.008100e-01 |  40 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.228  8.158157e-01  4.989918e-01  0.000000e+00  9.008100e-01 |  41 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.244  8.274822e-01  4.740972e-01  0.000000e+00  9.008100e-01 |  42 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.260  8.375697e-01  4.504453e-01  0.000000e+00  9.008100e-01 |  43 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.277  8.462595e-01  4.285142e-01  0.000000e+00  9.008100e-01 |  44 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.293  8.537491e-01  4.086989e-01  0.000000e+00  9.008100e-01 |  45 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.310  8.602365e-01  3.913279e-01  0.000000e+00  9.008100e-01 |  46 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.326  8.659103e-01  3.766767e-01  0.000000e+00  9.008100e-01 |  47 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.359  8.755297e-01  3.565974e-01  0.000000e+00  9.008100e-01 |  48 2 3.276800e-02 
2019-10-01 15:42:56 | DEBUG |        1.392  8.835365e-01  3.497956e-01  0.000000e+00  9.008100e-01 |  49 2 3.276800e-02 
2019-10-01 15:42:56 | DEBUG |        1.424  8.903962e-01  3.574280e-01  0.000000e+00  9.008100e-01 |  50 2 3.276800e-02 
2019-10-01 15:42:56 | DEBUG |        1.457  8.957845e-01  3.804361e-01  0.000000e+00  9.008100e-01 |  51 2 3.276800e-02 
2019-10-01 15:42:56 | DEBUG | Algebraic mode change for model SM
2019-10-01 15:42:56 | DEBUG |        1.479  8.978933e-01  4.045111e-01  0.000000e+00  9.008100e-01 |  52 2 3.276800e-02 
2019-10-01 15:42:56 | DEBUG | calculation of the new starting point of the simulation.
2019-10-01 15:42:56 | DEBUG | call of SolverReInit ie a new symbolic and numerical factorization will be performed
2019-10-01 15:42:56 | DEBUG |        1.479  8.979832e-01  4.045131e-01  0.000000e+00  9.008100e-01 |   0 0 0.000000e+00 
2019-10-01 15:42:56 | DEBUG |        1.479  8.979832e-01  4.045144e-01  0.000000e+00  9.008100e-01 |   1 1 1.000000e-06 
2019-10-01 15:42:56 | DEBUG |        1.479  8.979833e-01  4.045156e-01  0.000000e+00  9.008100e-01 |   2 1 1.000000e-06 
2019-10-01 15:42:56 | DEBUG |        1.479  8.979834e-01  4.045182e-01  0.000000e+00  9.008100e-01 |   3 2 2.000000e-06 
2019-10-01 15:42:56 | DEBUG |        1.479  8.979837e-01  4.045232e-01  0.000000e+00  9.008100e-01 |   4 2 4.000000e-06 
2019-10-01 15:42:56 | DEBUG |        1.479  8.979843e-01  4.045334e-01  0.000000e+00  9.008100e-01 |   5 2 8.000000e-06 
2019-10-01 15:42:56 | DEBUG |        1.479  8.979853e-01  4.045537e-01  0.000000e+00  9.008100e-01 |   6 2 1.600000e-05 
2019-10-01 15:42:56 | DEBUG |        1.479  8.979875e-01  4.045943e-01  0.000000e+00  9.008100e-01 |   7 2 3.200000e-05 
2019-10-01 15:42:56 | DEBUG |        1.479  8.979917e-01  4.046756e-01  0.000000e+00  9.008100e-01 |   8 2 6.400000e-05 
2019-10-01 15:42:56 | DEBUG |        1.479  8.980001e-01  4.048384e-01  0.000000e+00  9.008100e-01 |   9 2 1.280000e-04 
2019-10-01 15:42:56 | DEBUG |        1.479  8.980164e-01  4.051647e-01  0.000000e+00  9.008100e-01 |  10 2 2.560000e-04 
2019-10-01 15:42:56 | DEBUG |        1.480  8.980473e-01  4.058206e-01  0.000000e+00  9.008100e-01 |  11 2 5.120000e-04 
2019-10-01 15:42:56 | DEBUG |        1.481  8.981023e-01  4.071456e-01  0.000000e+00  9.008100e-01 |  12 2 1.024000e-03 
2019-10-01 15:42:56 | DEBUG |        1.483  8.981836e-01  4.098475e-01  0.000000e+00  9.008100e-01 |  13 2 2.048000e-03 
2019-10-01 15:42:56 | DEBUG |        1.487  8.982247e-01  4.154605e-01  0.000000e+00  9.008100e-01 |  14 2 4.096000e-03 
2019-10-01 15:42:56 | DEBUG |        1.495  8.977717e-01  4.275210e-01  0.000000e+00  9.008100e-01 |  15 2 8.192000e-03 
2019-10-01 15:42:56 | DEBUG |        1.512  8.944182e-01  4.549010e-01  0.000000e+00  9.008100e-01 |  16 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.528  8.873781e-01  4.863678e-01  0.000000e+00  9.008100e-01 |  17 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.544  8.762062e-01  5.214416e-01  0.000000e+00  9.008100e-01 |  18 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.561  8.605844e-01  5.594719e-01  0.000000e+00  9.008100e-01 |  19 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.577  8.403314e-01  5.996723e-01  0.000000e+00  9.008100e-01 |  20 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.593  8.154165e-01  6.411429e-01  0.000000e+00  9.008100e-01 |  21 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.610  7.859755e-01  6.829146e-01  0.000000e+00  9.008100e-01 |  22 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG |        1.626  7.523244e-01  7.239990e-01  0.000000e+00  9.008100e-01 |  23 2 1.638400e-02 
2019-10-01 15:42:56 | DEBUG | Algebraic mode change for model SM
2019-10-01 15:42:56 | DEBUG |        1.642  7.159253e-01  7.624976e-01  0.000000e+00  9.008100e-01 |  24 2 1.638400e-02 
